timestamp[ns],gyro[rad s^-1]/x,gyro[rad s^-1]/y,gyro[rad s^-1]/z,accel/x[m s^-2],accel/y[m s^-2],accel/z[m s^-2]
1403636579758555500,-0.099134702,0.147305789,0.027227136,8.147691708,-0.375921583,-2.402629250
1403636579763555500,-0.099134702,0.140324472,0.029321531,8.033280792,-0.408610417,-2.402629250
1403636579768555500,-0.098436570,0.127758101,0.037699112,7.886181042,-0.424954833,-2.435318083
1403636579773555500,-0.102625360,0.115889862,0.045378561,7.828975583,-0.375921583,-2.468006917
1403636579778555500,-0.105417887,0.108210414,0.051661746,7.714564667,-0.408610417,-2.557901208
1403636579783555500,-0.108908545,0.097738438,0.056548668,7.657359208,-0.433127042,-2.639623292
1403636579788555500,-0.110304809,0.085870199,0.061435590,7.591981542,-0.465815875,-2.705000958
1403636579793555500,-0.114493599,0.074700092,0.060039326,7.551120500,-0.473988083,-2.745862000
1403636579798555500,-0.111002940,0.057246799,0.062133721,7.591981542,-0.514849125,-2.884789542
1403636579803555500,-0.117286126,0.046774824,0.061435590,7.624670375,-0.482160292,-2.925650583
1403636579808555500,-0.121474916,0.033510322,0.053756141,7.600153750,-0.539365750,-2.933822792
1403636579813555500,-0.119380521,0.011868239,0.041189770,7.714564667,-0.523021333,-2.966511625
1403636579818555500,-0.120078653,-0.002792527,0.033510322,7.730909083,-0.457643667,-2.933822792
1403636579823555500,-0.117286126,-0.019547688,0.025830873,7.837147792,-0.449471458,-2.852100708
1403636579828555500,-0.110304809,-0.043284165,0.015358897,8.033280792,-0.424954833,-2.778550833
1403636579833555500,-0.107512282,-0.064926248,0.006283185,8.131347292,-0.400438208,-2.713173167
1403636579838555500,-0.098436570,-0.081681409,0.000698132,8.253930417,-0.367749375,-2.655967708
1403636579843555500,-0.089360858,-0.093549648,-0.001396263,8.351996917,-0.416782625,-2.623278875
1403636579848555500,-0.078190750,-0.099134702,-0.003490659,8.294791458,-0.351404958,-2.557901208
1403636579853555500,-0.071209433,-0.107512282,0.001396263,8.213069375,-0.384093792,-2.606934458
1403636579858555500,-0.065624380,-0.121474916,0.009773844,8.245758208,-0.408610417,-2.672312125
1403636579863555500,-0.062831853,-0.130550628,0.018151424,8.115002875,-0.441299250,-2.778550833
1403636579868555500,-0.058643063,-0.131946891,0.031415927,8.025108583,-0.490332500,-2.884789542
1403636579873555500,-0.048171087,-0.146607657,0.047472956,8.000591958,-0.449471458,-2.982856042
1403636579878555500,-0.040491639,-0.160570291,0.064228116,7.959730917,-0.433127042,-3.089094750
1403636579883555500,-0.040491639,-0.167551608,0.073303829,7.976075333,-0.408610417,-3.187161250
1403636579888555500,-0.043284165,-0.176627320,0.076794487,7.984247542,-0.408610417,-3.244366708
1403636579893555500,-0.044680429,-0.189193691,0.082379541,7.967903125,-0.367749375,-3.268883333
1403636579898555500,-0.045378561,-0.201061930,0.074001960,8.016936375,-0.539365750,-3.211677875
1403636579903555500,-0.039095375,-0.213628300,0.071209433,8.164036125,-0.572054583,-3.195333458
1403636579908555500,-0.032812190,-0.222704013,0.064926248,8.302963667,-0.612915625,-3.170816833
1403636579913555500,-0.020245819,-0.230383461,0.060737458,8.466407833,-0.678293292,-3.105439167
1403636579918555500,-0.010471976,-0.232477856,0.061435590,8.629852000,-0.596571208,-3.089094750
1403636579923555500,-0.001396263,-0.233175988,0.064228116,8.695229667,-0.490332500,-3.048233708
1403636579928555500,0.007679449,-0.227590934,0.064926248,8.744262917,-0.465815875,-3.031889292
1403636579933555500,0.007679449,-0.226892803,0.069115038,8.760607333,-0.375921583,-3.048233708
1403636579938555500,0.007679449,-0.219911486,0.081681409,8.687057458,-0.359577167,-3.072750333
1403636579943555500,0.004886922,-0.216420827,0.089360858,8.638024208,-0.351404958,-3.129955792
1403636579948555500,-0.002094395,-0.218515222,0.101229097,8.621679792,-0.212477417,-3.178989042
1403636579953555500,-0.007679449,-0.211533905,0.106116019,8.597163167,-0.122583125,-3.178989042
1403636579958555500,-0.020245819,-0.210137642,0.107512282,8.580818750,-0.073549875,-3.195333458
1403636579963555500,-0.029321531,-0.211533905,0.111002940,8.588990958,-0.122583125,-3.285227750
1403636579968555500,-0.038397244,-0.203854457,0.113795467,8.523613292,-0.196133000,-3.268883333
1403636579973555500,-0.040491639,-0.195476876,0.121474916,8.499096667,-0.326888333,-3.228022292
1403636579978555500,-0.033510322,-0.197571271,0.138928208,8.556302125,-0.539365750,-3.236194500
1403636579983555500,-0.020943951,-0.187797428,0.152192711,8.523613292,-0.686465500,-3.211677875
1403636579988555500,-0.004886922,-0.180117979,0.162664686,8.580818750,-0.849909667,-3.236194500
1403636579993555500,0.009773844,-0.173834793,0.168947872,8.638024208,-0.866254083,-3.236194500
1403636579998555500,0.024434610,-0.160570291,0.169646003,8.638024208,-0.866254083,-3.219850083
1403636580003555500,0.032812190,-0.144513262,0.168249740,8.670713042,-0.825393042,-3.228022292
1403636580008555500,0.039095375,-0.136833813,0.154985238,8.744262917,-0.539365750,-3.317916583
1403636580013555500,0.039095375,-0.131248760,0.139626340,8.809640583,-0.367749375,-3.383294250
1403636580018555500,0.034208453,-0.121474916,0.135437550,8.899534875,-0.179788583,-3.375122042
1403636580023555500,0.017453293,-0.123569311,0.129852496,8.973084750,0.016344417,-3.399638667
1403636580028555500,0.003490659,-0.127059970,0.126361838,9.030290208,0.106238708,-3.424155292
1403636580033555500,-0.013962634,-0.127758101,0.122173048,9.193734375,0.130755333,-3.391466458
1403636580038555500,-0.027925268,-0.129852496,0.116587994,9.422556208,0.163444167,-3.391466458
1403636580043555500,-0.037000980,-0.124267443,0.107512282,9.528794917,0.024516625,-3.350605417
1403636580048555500,-0.043284165,-0.123569311,0.094945911,9.626861417,-0.057205458,-3.350605417
1403636580053555500,-0.043284165,-0.117286126,0.092153385,9.692239083,-0.057205458,-3.366949833
1403636580058555500,-0.041887902,-0.113795467,0.092153385,9.586000375,-0.220649625,-3.342433208
1403636580063555500,-0.034208453,-0.110304809,0.099134702,9.553311542,-0.367749375,-3.391466458
1403636580068555500,-0.025830873,-0.111002940,0.123569311,9.381695167,-0.433127042,-3.415983083
1403636580073555500,-0.013962634,-0.108210414,0.143815130,9.324489708,-0.498504708,-3.415983083
1403636580078555500,0.002094395,-0.098436570,0.166853476,9.398039583,-0.645604458,-3.489532958
1403636580083555500,0.011868239,-0.089360858,0.182212374,9.422556208,-0.670121083,-3.652977125
1403636580088555500,0.023736478,-0.073303829,0.192684349,9.389867375,-0.645604458,-3.775560250
1403636580093555500,0.029321531,-0.062831853,0.196873140,9.365350750,-0.637432250,-3.832765708
1403636580098555500,0.029321531,-0.057944931,0.193382481,9.308145292,-0.523021333,-3.849110125
1403636580103555500,0.030717795,-0.050963614,0.184306769,9.218251000,-0.506676917,-3.881798958
1403636580108555500,0.023038346,-0.050265482,0.175231057,9.242767625,-0.498504708,-3.955348833
1403636580113555500,0.020245819,-0.052359878,0.163362818,9.365350750,-0.433127042,-3.988037667
1403636580118555500,0.023038346,-0.050963614,0.154287106,9.398039583,-0.384093792,-3.898143375
1403636580123555500,0.017453293,-0.053756141,0.145909525,9.479761667,-0.375921583,-3.865454542
1403636580128555500,0.010471976,-0.051661746,0.133343155,9.561483750,-0.384093792,-3.791904667
1403636580133555500,0.003490659,-0.055850536,0.125663706,9.610517000,-0.400438208,-3.702010375
1403636580138555500,0.006981317,-0.059341195,0.115191731,9.659550250,-0.482160292,-3.554910625
1403636580143555500,0.007679449,-0.060737458,0.113097336,9.749444542,-0.449471458,-3.530394000
1403636580148555500,0.013962634,-0.058643063,0.116587994,9.773961167,-0.375921583,-3.505877375
1403636580153555500,0.016755161,-0.055850536,0.124965574,9.855683250,-0.220649625,-3.587599458
1403636580158555500,0.011170107,-0.050265482,0.129852496,9.929233125,-0.089894292,-3.685665958
1403636580163555500,0.008377580,-0.051661746,0.127758101,9.651378042,-0.269682875,-3.554910625
1403636580168555500,0.013962634,-0.069813170,0.125663706,9.561483750,-0.498504708,-3.383294250
1403636580173555500,0.025132741,-0.074700092,0.129154365,9.635033625,-0.588399000,-3.595771667
1403636580178555500,0.033510322,-0.076096355,0.115889862,9.757616750,-0.416782625,-3.816421292
1403636580183555500,0.028623400,-0.064926248,0.096342175,9.880199875,-0.310543917,-3.939004417
1403636580188555500,0.018849556,-0.054454273,0.088662726,9.757616750,-0.261510667,-3.947176625
1403636580193555500,0.014660766,-0.063529985,0.077492619,9.545139333,-0.384093792,-3.873626750
1403636580198555500,0.004188790,-0.064228116,0.056548668,9.708583500,-0.473988083,-3.898143375
1403636580203555500,-0.002792527,-0.075398224,0.039793507,9.765788958,-0.490332500,-4.004382083
1403636580208555500,-0.005585054,-0.081681409,0.030019663,9.782133375,-0.555710167,-3.955348833
1403636580213555500,-0.007679449,-0.078190750,0.027925268,9.888372083,-0.637432250,-3.955348833
1403636580218555500,-0.007679449,-0.080285146,0.033510322,9.888372083,-0.604743417,-3.922660000
1403636580223555500,-0.004188790,-0.084473936,0.041887902,9.970094167,-0.572054583,-3.889971167
1403636580228555500,-0.002094395,-0.073303829,0.056548668,9.994610792,-0.653776667,-3.816421292
1403636580233555500,-0.002792527,-0.078190750,0.067020643,9.880199875,-0.710982125,-3.775560250
1403636580238555500,0.004886922,-0.078888882,0.071907565,9.839338833,-0.661948875,-3.759215833
1403636580243555500,0.011170107,-0.080983277,0.071209433,9.724927917,-0.629260042,-3.751043625
1403636580248555500,0.010471976,-0.092851516,0.069115038,9.790305583,-0.523021333,-3.816421292
